hex_id,edge_id
8a1f8d98a32ffff,24634513#6
8a1f8d98a32ffff,24634514#0
8a1f8d98a337fff,-10427692#7
8a1f8d98a337fff,-10427692#8
8a1f8d98a337fff,-201238726#0
8a1f8d98a337fff,-201238726#0.98
8a1f8d98a337fff,-24634510#18
8a1f8d98a337fff,10427692#7.50
8a1f8d98a337fff,10427692#8
8a1f8d98a337fff,201238726#0
8a1f8d98a337fff,24634510#16
8a1f8d98a347fff,-24634510#6
8a1f8d98a347fff,-24634510#8
8a1f8d98a347fff,138300620#0
8a1f8d98a347fff,24634510#6
8a1f8d98a347fff,24634510#7
8a1f8d98a34ffff,-138300620#6
8a1f8d98a34ffff,-24634510#5
8a1f8d98a34ffff,-24634510#6
8a1f8d98a34ffff,138300620#0
8a1f8d98a34ffff,24634510#1
8a1f8d98a34ffff,24634510#6
8a1f8d98a357fff,-24634510#15
8a1f8d98a357fff,-24634510#8
8a1f8d98a357fff,-24634513#5
8a1f8d98a357fff,24634510#7
8a1f8d98a357fff,24634510#9
8a1f8d98a357fff,24634513#0
8a1f8d98a35ffff,-218647947#1
8a1f8d98a35ffff,204588664#0
8a1f8d98a367fff,176550249#1
8a1f8d98a367fff,176550249#2
8a1f8d98a367fff,201201953#10
8a1f8d98a367fff,201201953#4
8a1f8d98a36ffff,-138300620#6
8a1f8d98a36ffff,138300620#0
8a1f8d98a36ffff,176550249#2
8a1f8d98a36ffff,176550249#3
8a1f8d98a36ffff,201201953#4
8a1f8d98a377fff,-24634513#5
8a1f8d98a377fff,176550249#1
8a1f8d98a377fff,24634513#0
8a1f8d98a387fff,-201963533#1.120
8a1f8d98a387fff,-201963533#1.145
8a1f8d98a387fff,-22716072#3
8a1f8d98a387fff,201963533#1
8a1f8d98a387fff,22716072#0
8a1f8d98a38ffff,-201963533#1
8a1f8d98a38ffff,-22716072#3
8a1f8d98a38ffff,-24634517#3
8a1f8d98a38ffff,201963533#1
8a1f8d98a38ffff,22716072#0
8a1f8d98a38ffff,24634517#1
8a1f8d98a397fff,-170425366#6
8a1f8d98a397fff,-18809672#4
8a1f8d98a397fff,-18809672#5
8a1f8d98a397fff,-18809672#6
8a1f8d98a397fff,-37681424#1
8a1f8d98a397fff,170425366#0
8a1f8d98a397fff,18809672#2
8a1f8d98a397fff,18809672#5
8a1f8d98a397fff,18809672#6
8a1f8d98a397fff,37681424#1
8a1f8d98a39ffff,-22716072#3
8a1f8d98a39ffff,-31860333#1
8a1f8d98a39ffff,22716072#0
8a1f8d98a39ffff,31860333#1
8a1f8d98a3a7fff,-10427692#1
8a1f8d98a3a7fff,-10427692#2
8a1f8d98a3a7fff,-10427692#3
8a1f8d98a3a7fff,-10427692#4
8a1f8d98a3a7fff,-10427692#5
8a1f8d98a3a7fff,-24634516#0
8a1f8d98a3a7fff,-24634516#1
8a1f8d98a3a7fff,10427692#0
8a1f8d98a3a7fff,10427692#2
8a1f8d98a3a7fff,10427692#3
8a1f8d98a3a7fff,10427692#4
8a1f8d98a3a7fff,10427692#5
8a1f8d98a3a7fff,24634516#0
8a1f8d98a3a7fff,24634516#1
8a1f8d98a3affff,-24634516#1
8a1f8d98a3affff,-24634516#2
8a1f8d98a3affff,24634516#1
8a1f8d98a3affff,24634516#2
8a1f8d98a3b7fff,-10427692#1
8a1f8d98a3b7fff,-18809672#1
8a1f8d98a3b7fff,-18809672#4
8a1f8d98a3b7fff,-201963533#0
8a1f8d98a3b7fff,-201963533#1.145
8a1f8d98a3b7fff,-22716072#3
8a1f8d98a3b7fff,-285549250#1
8a1f8d98a3b7fff,10427692#0
8a1f8d98a3b7fff,18809672#0
8a1f8d98a3b7fff,18809672#2
8a1f8d98a3b7fff,201963533#0
8a1f8d98a3b7fff,201963533#1
8a1f8d98a3b7fff,22716072#0
8a1f8d98a3b7fff,285549250#0
8a1f8d98a60ffff,-18809673#1.275
8a1f8d98a60ffff,-18809673#6
8a1f8d98a60ffff,18809673#0
8a1f8d98a617fff,-18809673#6
8a1f8d98a617fff,18809673#0
8a1f8d98a61ffff,-18809673#6
8a1f8d98a61ffff,18809673#0
8a1f8d98a62ffff,-32395288#2
8a1f8d98a62ffff,-32395288#3
8a1f8d98a62ffff,32395288#2
8a1f8d98a62ffff,32395288#3
8a1f8d98a647fff,-18813598#1
8a1f8d98a647fff,-18813598#6
8a1f8d98a647fff,18813598#0
8a1f8d98a647fff,18813598#2
8a1f8d98a657fff,-25122731#1
8a1f8d98a657fff,-30482614
8a1f8d98a657fff,-30482615#4
8a1f8d98a657fff,25122731#0
8a1f8d98a657fff,30482614
8a1f8d98a657fff,30482615#1
8a1f8d98a667fff,-31860333#4
8a1f8d98a667fff,-37681425#4
8a1f8d98a667fff,-37681425#6
8a1f8d98a667fff,31860333#4
8a1f8d98a667fff,37681425#0
8a1f8d98a667fff,37681425#5
8a1f8d98a66ffff,-18813598#6
8a1f8d98a66ffff,18813598#2
8a1f8d98a677fff,-18809673#1.275
8a1f8d98a677fff,-18813598#1
8a1f8d98a677fff,-201963522#9
8a1f8d98a677fff,-25122731#1
8a1f8d98a677fff,-32395288#1
8a1f8d98a677fff,18809673#0
8a1f8d98a677fff,18813598#0
8a1f8d98a677fff,201963522#6
8a1f8d98a677fff,25122731#0
8a1f8d98a677fff,32395288#0
8a1f8d98a6cffff,-30482615#4
